Hospital_ID,Hospital_Name,State,Region_Type,Population_Density,Total_Beds,Occupied_Beds,Doctors_Count,Nurses_Count,Daily_Patient_Inflow,Emergency_Cases,OPD_Visits,IPD_Admissions,Avg_Treatment_Cost,Equipment_Availability_Index,Medicine_Stock_Index,Distance_to_Nearest_City_km,Satisfaction_Score,Mortality_Rate
574,Hospital_574,Karnataka,Rural,16181,42,42,26,27,62,52,105,206,4584,0.82,0.68,40.68,1.03,4.25
575,Hospital_575,Delhi,Rural,521,174,174,17,150,261,39,669,228,12753,0.92,0.26,50.68,1.38,1.25
576,Hospital_576,Delhi,Rural,5640,205,89,69,162,573,17,1079,72,8128,0.97,0.54,24.14,3.73,2.07
577,Hospital_577,Kerala,Urban,16388,268,268,20,17,114,174,591,41,6695,0.31,0.41,46.66,2.05,0.6
578,Hospital_578,Maharashtra,Rural,16066,256,256,90,83,965,12,496,242,1511,0.36,0.59,69,1.43,4.71
579,Hospital_579,Kerala,Urban,15982,312,312,68,169,785,154,1458,119,1313,0.77,0.52,46.25,2.31,1.5
580,Hospital_580,Maharashtra,Urban,4775,153,153,36,154,207,189,1380,174,12638,0.57,0.86,5.21,2.02,3.02
581,Hospital_581,Maharashtra,Urban,9182,340,44,84,111,404,73,923,203,772,0.87,0.4,26.52,1.12,0.85
582,Hospital_582,Delhi,Urban,13109,409,298,55,88,838,95,688,16,16182,0.31,0.36,35.79,2.64,4.03
583,Hospital_583,Tamil Nadu,Rural,6848,453,27,83,88,419,104,1375,148,16692,0.86,0.97,36.12,1.11,1.01
584,Hospital_584,Tamil Nadu,Urban,6203,41,41,62,130,525,172,1478,296,18600,0.39,0.96,9.02,1,4.07
585,Hospital_585,Karnataka,Rural,17957,380,22,50,185,186,130,660,65,6776,0.5,0.99,45.51,4.17,2.07
586,Hospital_586,Delhi,Rural,19727,107,107,56,72,802,149,886,169,7328,0.98,0.65,69.5,2.26,2.93
587,Hospital_587,Maharashtra,Urban,18665,172,172,67,49,144,154,829,158,856,0.34,0.29,5.82,3.27,1.42
588,Hospital_588,Tamil Nadu,Rural,19580,144,144,80,93,692,182,886,296,14154,0.54,0.9,75.34,2.19,4.43
589,Hospital_589,Maharashtra,Rural,11448,98,98,64,24,106,66,559,266,703,0.36,0.32,95.56,4.72,3.82
590,Hospital_590,Tamil Nadu,Urban,9882,365,365,69,108,840,32,1146,148,18480,0.9,0.32,1.92,3.92,1.84
591,Hospital_591,Tamil Nadu,Rural,5982,475,457,85,143,508,1,861,196,7114,0.79,0.35,20.18,2.48,2.97
592,Hospital_592,Tamil Nadu,Rural,5898,70,10,59,130,245,74,613,193,15299,0.86,0.72,54.81,1.84,0.73
593,Hospital_593,Delhi,Rural,9727,235,235,61,72,676,173,314,271,996,0.67,0.29,22.59,1.55,0.89
594,Hospital_594,Kerala,Rural,8515,195,195,96,145,364,73,1300,154,13489,0.55,0.82,76.7,4.05,2.72
595,Hospital_595,Maharashtra,Urban,12566,377,43,75,137,779,160,1266,270,16946,0.3,0.25,31.9,2.81,3.24
596,Hospital_596,Delhi,Rural,9946,272,272,77,121,893,185,1447,11,2079,0.49,0.29,30.07,1.93,2.83
597,Hospital_597,Delhi,Rural,12820,473,275,90,120,537,134,59,21,5376,0.66,0.55,1.09,4.68,2.84
598,Hospital_598,Delhi,Rural,9245,265,137,30,41,50,142,351,270,8350,0.77,0.5,27.74,2.56,3.74
599,Hospital_599,Delhi,Rural,4624,246,221,16,54,728,25,1432,178,4625,0.46,0.99,22.55,3.17,4.52
600,Hospital_600,Delhi,Urban,6659,125,125,75,131,763,138,854,157,19597,0.4,0.97,34.98,4.43,2
601,Hospital_601,Karnataka,Rural,7720,212,212,50,189,315,127,1125,209,5828,0.44,0.35,15.62,4.33,2.73
602,Hospital_602,Maharashtra,Urban,19258,335,89,51,91,433,165,148,79,16700,0.55,0.96,59.87,3.55,4.48
603,Hospital_603,Delhi,Rural,3224,321,174,83,22,856,26,642,63,9772,0.4,0.75,24.64,4.55,2.37
604,Hospital_604,Maharashtra,Urban,8771,55,55,42,33,991,134,1086,268,12196,0.41,0.53,83.34,4.81,2.28
605,Hospital_605,Karnataka,Urban,11806,461,261,25,177,154,128,1463,37,3879,0.33,0.79,29.17,4.74,3.86
606,Hospital_606,Karnataka,Urban,17837,223,21,18,23,544,20,406,129,18482,0.9,0.92,21.88,2.4,4.4
607,Hospital_607,Maharashtra,Urban,12170,441,410,6,79,23,78,977,142,16619,0.45,0.34,6.62,2.59,3.71
608,Hospital_608,Tamil Nadu,Urban,8234,286,286,76,71,197,157,60,99,16512,0.88,0.36,74.25,1.96,0.59
609,Hospital_609,Kerala,Rural,1024,287,221,74,129,765,93,130,25,3872,0.61,0.53,51.31,4.35,2.38
610,Hospital_610,Tamil Nadu,Rural,18654,189,189,37,98,278,7,1334,296,17953,0.74,0.34,12.26,1.49,1.14
611,Hospital_611,Tamil Nadu,Rural,5606,58,58,10,198,671,82,55,293,14912,0.35,0.49,22.91,2.42,1.66
612,Hospital_612,Tamil Nadu,Urban,13750,474,220,94,10,84,2,422,239,19660,0.71,0.72,99.87,1.04,2.4
613,Hospital_613,Delhi,Rural,2495,158,158,41,135,814,54,530,146,1692,0.5,0.85,80.8,3.38,1.19
614,Hospital_614,Karnataka,Urban,15410,311,248,18,41,382,142,271,236,17697,0.37,0.44,35.64,3.63,2.63
615,Hospital_615,Tamil Nadu,Urban,8326,71,71,41,150,837,35,1154,36,1652,0.94,0.43,54.71,2,3.25
616,Hospital_616,Karnataka,Rural,11881,306,306,12,170,736,5,564,126,2383,0.72,0.82,42.19,3.95,4.39
617,Hospital_617,Maharashtra,Rural,5615,308,307,81,41,36,120,1133,98,17151,0.47,0.5,4.6,2.53,1.14
618,Hospital_618,Kerala,Urban,19154,160,160,17,65,219,41,270,116,3312,0.59,0.85,78.09,2.25,1.62
619,Hospital_619,Maharashtra,Urban,3465,165,67,44,161,563,49,398,230,13372,0.55,0.99,71.98,4.82,2.09
620,Hospital_620,Maharashtra,Rural,17072,444,444,96,100,231,111,277,232,7062,0.79,0.98,41.47,3.35,1.2
621,Hospital_621,Delhi,Rural,11510,333,43,62,13,454,145,339,131,7513,0.73,0.73,84.74,2.01,1.73
622,Hospital_622,Kerala,Rural,19622,203,203,22,32,292,49,342,42,5677,0.31,0.5,53.94,4.93,4.43
623,Hospital_623,Maharashtra,Rural,9195,171,171,61,38,309,29,859,100,17267,0.44,0.25,7.46,2.55,0.78
624,Hospital_624,Maharashtra,Urban,10461,220,44,87,107,822,38,1266,193,19734,0.63,0.79,26.68,3.59,2.27
625,Hospital_625,Kerala,Rural,8631,147,147,42,158,502,115,1005,267,17933,0.61,0.98,46.72,3.9,1.62
626,Hospital_626,Kerala,Rural,4370,306,306,36,39,253,139,1330,22,18717,0.66,0.25,11.24,2.69,0.48
627,Hospital_627,Maharashtra,Rural,10006,330,330,90,99,427,58,437,33,9489,0.8,0.2,57.54,3.14,0.57
628,Hospital_628,Kerala,Urban,17040,272,236,70,157,713,75,664,43,4967,0.78,0.87,12.94,1.96,3.95
629,Hospital_629,Maharashtra,Urban,11379,285,34,81,153,165,171,1471,256,19859,0.56,0.28,20.85,2.86,4.28
630,Hospital_630,Maharashtra,Urban,5552,207,207,91,76,581,131,415,28,5655,0.91,0.27,89.5,2.24,3.73
631,Hospital_631,Delhi,Urban,6577,405,68,29,186,449,163,707,39,14636,0.34,0.93,99.98,3.19,2.74
632,Hospital_632,Tamil Nadu,Rural,17500,249,249,96,110,451,47,339,58,18174,0.71,0.26,55.48,3.68,3.89
633,Hospital_633,Maharashtra,Urban,6570,290,290,62,67,634,141,1382,189,8461,0.96,0.29,62.35,3.46,0.84
634,Hospital_634,Karnataka,Rural,2162,278,95,79,181,564,80,1351,235,7686,0.68,0.66,79.95,4.11,3.92
635,Hospital_635,Tamil Nadu,Rural,9130,318,260,37,34,516,48,238,87,8006,0.62,0.81,69.92,1.17,2.18
636,Hospital_636,Tamil Nadu,Rural,19980,434,399,92,32,108,66,967,216,19071,0.39,0.52,19.06,1.31,3.78
637,Hospital_637,Tamil Nadu,Rural,1913,217,189,70,196,430,76,1251,44,8758,0.87,0.54,41.76,1.82,1.22
638,Hospital_638,Delhi,Urban,11771,342,216,34,138,916,136,973,259,13802,0.56,0.71,53.98,4.94,4.18
639,Hospital_639,Maharashtra,Urban,14408,75,75,85,106,872,20,1037,80,16683,0.79,0.6,36.61,4.2,2.88
640,Hospital_640,Delhi,Urban,2413,338,158,38,152,846,104,424,288,8291,0.44,0.21,18.43,4.7,0.14
641,Hospital_641,Maharashtra,Rural,9806,222,80,90,137,260,71,809,161,7270,0.33,0.29,73.88,2.09,2.64
642,Hospital_642,Delhi,Rural,17715,290,130,73,90,797,15,266,236,10393,0.51,0.67,20.69,3.3,1.62
643,Hospital_643,Delhi,Rural,9937,128,128,52,189,242,143,1115,252,18489,0.5,0.83,26.79,3.22,0.38
644,Hospital_644,Karnataka,Rural,5931,135,102,44,195,767,27,243,19,8487,0.91,0.81,29.37,3.28,2.29
645,Hospital_645,Delhi,Rural,19483,111,111,55,178,684,178,1400,57,7665,0.91,0.79,17.02,3.87,1.63
646,Hospital_646,Kerala,Urban,19924,157,157,84,181,487,183,1446,121,14014,0.67,0.82,85.11,2.58,1.1
647,Hospital_647,Karnataka,Rural,4156,441,361,17,13,588,79,212,213,5005,0.31,0.24,61.45,3.71,1.81
648,Hospital_648,Delhi,Urban,405,322,297,94,144,341,56,325,166,6307,0.46,0.92,83.64,4.15,0.98
649,Hospital_649,Tamil Nadu,Rural,14447,76,76,35,55,394,109,413,35,6756,0.75,0.91,49.88,2.16,1.57
650,Hospital_650,Kerala,Rural,1789,69,68,43,18,131,51,824,175,15656,0.37,0.63,52.44,4.78,0.67
651,Hospital_651,Kerala,Urban,4017,90,78,67,170,546,173,529,258,12408,0.79,0.4,62,3.07,0.51
652,Hospital_652,Kerala,Urban,3036,418,418,52,42,431,165,738,271,4784,0.31,0.67,37.72,3.93,4.56
653,Hospital_653,Karnataka,Rural,3962,421,397,91,93,288,83,509,273,14938,0.78,0.65,50.16,3.92,4.52
654,Hospital_654,Delhi,Rural,14606,101,95,52,141,645,47,1338,26,2654,0.89,0.38,55.14,3.26,4.16
655,Hospital_655,Delhi,Rural,14418,391,283,65,74,271,126,588,85,8242,0.63,0.68,95.4,2.29,1.23
656,Hospital_656,Tamil Nadu,Rural,15400,124,124,16,115,393,168,1023,263,14727,0.88,0.84,88.41,3.67,3.66
657,Hospital_657,Tamil Nadu,Urban,5749,107,90,82,43,673,97,1459,215,14765,0.85,0.84,13.8,1.35,2.99
658,Hospital_658,Kerala,Rural,19745,21,21,60,94,645,117,134,43,19688,0.77,0.25,5.09,4.93,0.35
659,Hospital_659,Tamil Nadu,Urban,18303,379,193,22,97,469,186,1389,156,19104,0.61,0.36,68.35,1.74,4.51
660,Hospital_660,Karnataka,Rural,15774,103,103,31,162,821,92,292,237,9690,0.49,0.73,5.87,2.1,4.99
661,Hospital_661,Delhi,Urban,17826,62,62,32,64,888,66,929,127,17605,0.9,0.89,6.97,4.82,3.57
662,Hospital_662,Kerala,Urban,5660,173,173,86,146,556,73,1415,174,4525,0.75,0.62,16.77,1.75,1.23
663,Hospital_663,Tamil Nadu,Rural,15551,346,327,84,26,387,83,1250,47,16407,0.86,0.77,35.82,1.68,2.82
664,Hospital_664,Karnataka,Urban,18710,441,63,56,158,841,193,1203,146,14969,0.69,0.22,44.06,4.22,0.64
665,Hospital_665,Karnataka,Rural,1179,113,113,20,197,274,154,706,255,5656,0.42,0.69,52.42,2.01,1.56
666,Hospital_666,Tamil Nadu,Urban,14083,317,206,81,150,482,159,1156,207,14928,0.99,0.97,99.24,1.38,3.61
667,Hospital_667,Delhi,Rural,15427,152,152,62,140,287,183,1433,75,14910,0.43,0.73,39.14,1.91,1.58
668,Hospital_668,Tamil Nadu,Urban,12855,414,302,97,13,145,9,137,89,11495,0.94,0.94,25.03,4.55,0.82
669,Hospital_669,Kerala,Rural,7335,84,84,13,16,412,167,791,61,5312,0.45,0.65,57.95,2.12,0.14
670,Hospital_670,Tamil Nadu,Rural,17297,309,309,30,35,781,144,1034,138,9150,0.56,0.87,22.3,3.78,2.91
671,Hospital_671,Karnataka,Urban,2131,395,395,32,33,818,185,520,10,16558,0.61,0.3,94.11,2.58,4.85
672,Hospital_672,Tamil Nadu,Urban,8614,276,276,81,19,353,117,1427,176,2956,0.94,0.3,26.67,2.05,2.47
673,Hospital_673,Delhi,Urban,9195,486,300,40,22,584,96,465,25,17090,0.92,0.3,99,1.58,1.14
674,Hospital_674,Maharashtra,Urban,14387,405,189,13,134,387,5,1124,154,18240,0.88,0.59,42.45,4.89,2.37
675,Hospital_675,Tamil Nadu,Rural,6011,232,232,51,181,574,166,731,121,13460,0.56,0.46,81.46,3.08,3.05
676,Hospital_676,Delhi,Urban,11795,167,167,82,48,697,17,1136,111,12288,0.3,0.78,65.18,1.46,4.03
677,Hospital_677,Delhi,Rural,19137,80,80,55,156,573,71,1162,91,7656,0.78,0.92,93.42,1.8,2.32
678,Hospital_678,Karnataka,Urban,3440,490,231,80,188,911,88,1263,108,14765,0.59,0.7,62.92,2.63,0.95
679,Hospital_679,Delhi,Rural,7976,168,168,61,28,475,41,948,168,8651,0.83,0.37,58.54,3.18,1.02
680,Hospital_680,Delhi,Rural,15996,107,107,36,85,707,3,650,49,11487,0.86,0.94,65.63,1.73,4.51
681,Hospital_681,Delhi,Rural,12535,343,253,71,61,86,19,1421,164,13060,0.61,0.62,78.86,2.11,1.26
682,Hospital_682,Delhi,Rural,1241,402,402,61,184,85,27,1249,45,3173,0.82,0.78,89.99,4.13,3.67
683,Hospital_683,Kerala,Urban,19381,415,415,58,129,931,167,1437,256,15499,0.89,0.91,27.41,2.67,1.42
684,Hospital_684,Kerala,Urban,9381,297,297,20,167,614,192,825,13,17933,0.95,0.99,20.89,1.01,3.63
685,Hospital_685,Karnataka,Rural,2138,423,163,66,55,881,103,950,290,7323,0.71,0.6,4.4,1.22,0.48
686,Hospital_686,Tamil Nadu,Urban,4370,101,101,88,158,636,43,532,258,19475,0.84,0.85,37.64,2.76,1.12
687,Hospital_687,Delhi,Urban,10146,148,148,60,84,419,22,1192,21,7376,0.65,0.65,84.77,1.24,2.1
688,Hospital_688,Tamil Nadu,Rural,4783,305,282,27,133,306,184,218,292,6473,0.33,0.59,7.92,1.7,2.63
689,Hospital_689,Tamil Nadu,Urban,16978,401,401,21,57,905,46,196,225,8782,0.41,0.63,54.31,3.91,1.83
690,Hospital_690,Karnataka,Urban,7216,372,144,84,71,205,12,488,91,9167,0.39,0.59,69.78,2.92,2.91
691,Hospital_691,Delhi,Urban,1884,299,299,42,67,303,143,937,23,8556,0.42,0.54,83.85,2.93,1.69
692,Hospital_692,Delhi,Rural,19994,289,17,76,27,535,182,1262,65,2546,0.31,0.78,58.76,3.39,3.42
693,Hospital_693,Maharashtra,Urban,3886,311,137,87,117,669,94,209,291,8236,0.9,0.4,19.45,4.15,2.6
694,Hospital_694,Tamil Nadu,Rural,9290,472,382,34,196,710,192,863,208,4190,0.69,0.69,96.49,1.63,3.56
695,Hospital_695,Tamil Nadu,Urban,5528,222,65,62,57,256,15,451,175,3245,0.57,0.77,10.37,1.69,2.21
696,Hospital_696,Kerala,Urban,6781,43,43,82,72,37,118,635,155,3139,0.59,0.91,77.13,1.49,4.39
697,Hospital_697,Maharashtra,Urban,6993,463,168,26,21,834,164,913,87,576,0.62,0.47,9.57,4.75,1.97
698,Hospital_698,Kerala,Rural,12761,370,68,21,43,947,179,1091,121,6973,0.35,0.89,15.2,3.31,1.61
699,Hospital_699,Kerala,Rural,14992,330,67,19,198,433,116,189,32,11122,0.49,0.96,89.92,1.37,2.83
700,Hospital_700,Kerala,Urban,9743,480,149,52,111,951,9,1188,125,19308,0.9,0.72,75.55,1.88,2.59
701,Hospital_701,Karnataka,Rural,10043,227,185,36,96,28,121,377,151,5796,0.82,0.82,37.19,3.9,2.64
702,Hospital_702,Karnataka,Urban,10572,299,299,81,190,439,37,274,206,19105,0.69,0.52,64.23,1.12,4
703,Hospital_703,Kerala,Rural,13092,224,117,89,34,48,43,607,287,905,0.64,0.96,46.27,3.9,2.98
704,Hospital_704,Maharashtra,Rural,11226,171,171,44,199,675,94,488,37,19013,0.48,0.74,7.59,4.65,4.44
705,Hospital_705,Tamil Nadu,Urban,6969,457,456,61,141,367,73,435,85,12808,0.63,0.45,72.39,1.23,3.13
706,Hospital_706,Maharashtra,Urban,7769,45,45,62,150,680,181,570,27,15845,0.72,0.52,76.56,1.75,0.21
707,Hospital_707,Delhi,Urban,11638,213,176,95,179,595,112,1326,109,897,0.8,0.69,88.35,1.01,4.36
708,Hospital_708,Karnataka,Urban,10165,355,355,20,58,898,50,669,133,15165,0.42,0.39,54.52,1.44,4.21
709,Hospital_709,Tamil Nadu,Rural,10271,441,413,32,87,469,51,1171,134,15060,0.87,0.8,67.64,3.47,0.34
710,Hospital_710,Tamil Nadu,Rural,17796,257,257,5,193,399,197,836,16,10500,0.54,0.38,44.37,1.18,0.71
711,Hospital_711,Delhi,Rural,3062,340,313,45,184,718,91,1144,32,5489,0.65,0.67,32.57,2.7,2.83
712,Hospital_712,Delhi,Urban,13951,94,94,52,145,385,58,600,171,18828,0.73,0.76,41.76,3.01,0.31
713,Hospital_713,Kerala,Urban,19422,454,336,35,64,246,12,496,126,9129,0.64,0.89,91.26,4.63,2.11
714,Hospital_714,Karnataka,Rural,13079,182,182,40,27,137,168,1163,30,5891,0.7,0.79,17.25,2.9,4.88
715,Hospital_715,Karnataka,Urban,19681,318,191,37,44,431,11,1292,261,722,0.38,0.84,25.6,1.57,0.95
716,Hospital_716,Maharashtra,Rural,5396,48,48,37,169,970,49,156,93,18494,0.6,0.93,61.01,2.16,1.11
717,Hospital_717,Kerala,Rural,14845,184,184,86,161,375,56,965,50,8330,0.5,0.68,12.51,3.69,3.41
718,Hospital_718,Kerala,Rural,5830,356,212,27,16,273,177,953,212,16730,0.36,0.88,89.29,1.45,0.32
719,Hospital_719,Kerala,Rural,14021,205,205,64,22,562,118,593,137,4500,0.43,0.39,5.68,1.93,4.12
720,Hospital_720,Kerala,Rural,226,73,38,91,135,692,56,1199,151,19548,0.72,0.85,75.78,4.98,1.08
721,Hospital_721,Karnataka,Urban,5702,314,211,83,121,746,181,1220,112,17949,0.44,0.38,38,1.02,2.7
722,Hospital_722,Karnataka,Urban,17675,61,61,94,78,463,193,329,116,13987,0.43,0.95,6.07,1.61,1.32
723,Hospital_723,Kerala,Urban,19123,431,338,34,109,700,7,73,26,5893,0.69,0.46,84.45,4.37,3.33
724,Hospital_724,Maharashtra,Rural,12681,304,304,93,99,100,105,1001,34,1103,0.93,0.34,64.41,1.41,2.98
725,Hospital_725,Tamil Nadu,Rural,16097,446,185,49,51,65,190,169,73,6795,0.85,0.32,1.88,1.13,4.74
726,Hospital_726,Tamil Nadu,Rural,17850,406,339,84,118,68,136,1370,246,8880,0.93,0.35,27.49,1.49,2.28
727,Hospital_727,Maharashtra,Rural,9311,157,157,43,168,468,187,904,185,7603,0.71,0.56,35.85,3.77,4.39
728,Hospital_728,Kerala,Urban,15097,206,193,49,119,829,119,1065,165,17521,0.59,0.62,32.94,4.97,2.92
729,Hospital_729,Karnataka,Urban,6771,417,104,82,35,426,62,993,62,15046,0.81,0.93,50.34,3.36,4.58
730,Hospital_730,Tamil Nadu,Rural,12371,223,223,85,85,899,71,1155,82,15956,0.48,0.5,53.15,1.5,1.53
731,Hospital_731,Delhi,Rural,8976,450,146,16,41,302,130,497,192,18728,0.35,0.37,40.28,1.74,2.79
732,Hospital_732,Delhi,Rural,2987,61,61,97,100,492,12,1045,198,15174,0.54,0.8,33.85,3.15,2.01
733,Hospital_733,Maharashtra,Urban,9754,369,362,36,134,435,136,1496,22,546,0.51,0.31,50.94,3.86,0.42
734,Hospital_734,Kerala,Urban,4186,435,427,60,135,998,51,1097,56,1319,0.77,0.91,4.33,3.65,2.91
735,Hospital_735,Tamil Nadu,Urban,18745,307,307,28,61,619,61,1134,169,4307,0.69,0.53,64.87,3.3,3.99
736,Hospital_736,Kerala,Rural,4280,445,445,17,157,140,118,133,293,19906,0.4,0.69,60.99,4.95,2.83
737,Hospital_737,Tamil Nadu,Rural,2941,435,274,24,112,22,108,274,62,1580,0.94,0.35,28.64,1.79,1.47
738,Hospital_738,Maharashtra,Urban,6140,45,45,83,114,335,7,235,296,3646,0.72,0.32,18.77,1.69,1.39
739,Hospital_739,Maharashtra,Rural,10404,390,153,60,177,479,94,424,17,18161,0.62,0.84,8.23,4.44,1.27
740,Hospital_740,Delhi,Urban,4858,404,28,57,196,246,124,121,81,12426,0.96,0.54,59.15,2.16,4.9
741,Hospital_741,Kerala,Rural,17110,75,75,72,23,98,172,123,107,16430,0.37,0.99,57.32,2.33,2.06
742,Hospital_742,Delhi,Urban,16334,272,143,58,181,676,52,1414,96,15672,0.85,0.62,53.8,3.19,1.65
743,Hospital_743,Kerala,Rural,5114,141,123,38,113,773,62,202,110,15787,0.56,0.88,98.58,2.53,2.15
744,Hospital_744,Delhi,Urban,1475,125,125,32,126,563,94,145,290,7241,0.79,0.98,53.62,2.15,0.67
745,Hospital_745,Karnataka,Urban,1281,149,134,54,57,794,80,494,298,2717,0.95,0.42,72.46,4.67,1.06
746,Hospital_746,Karnataka,Urban,590,356,213,6,102,742,56,1183,246,3386,0.66,0.84,12.18,1.52,2.59
747,Hospital_747,Karnataka,Urban,3829,177,70,98,180,90,181,877,205,13844,0.32,0.22,30.6,2.62,4.01
748,Hospital_748,Karnataka,Urban,6074,395,259,30,153,915,146,1124,106,9487,0.32,0.74,28.27,1.01,4.39
749,Hospital_749,Tamil Nadu,Urban,19780,250,250,55,119,216,66,426,105,7793,0.53,0.8,58.02,4.23,4.34
750,Hospital_750,Karnataka,Rural,18424,474,22,51,172,77,45,814,270,3506,0.85,0.58,33.75,1.67,4.73
751,Hospital_751,Maharashtra,Rural,1982,327,327,30,62,443,93,1146,130,7458,0.5,0.33,64.47,4.09,0.72
752,Hospital_752,Maharashtra,Rural,3087,110,110,88,171,488,137,261,282,11081,0.53,0.69,69.32,1.59,0.3
753,Hospital_753,Tamil Nadu,Urban,5685,412,94,96,12,643,112,773,61,4643,0.85,0.92,4.34,2.67,0.62
754,Hospital_754,Karnataka,Urban,3259,41,41,88,77,67,92,1241,172,15199,0.38,0.95,64.34,3.91,3.04
755,Hospital_755,Karnataka,Rural,4630,309,29,79,142,454,145,824,199,18102,0.89,0.8,12.56,2.08,2.82
756,Hospital_756,Karnataka,Urban,17165,129,59,78,147,204,139,380,286,8518,0.49,0.41,47.05,2.26,3.39
757,Hospital_757,Delhi,Urban,1173,68,68,65,61,898,48,800,94,10452,0.34,0.9,72.93,3.67,1.92
758,Hospital_758,Kerala,Urban,13843,148,101,27,166,858,22,1216,203,9416,0.38,0.91,70.63,1.75,2.02
759,Hospital_759,Delhi,Urban,18871,92,92,41,105,184,61,873,190,18228,0.97,0.49,30.68,4.81,2.77
760,Hospital_760,Kerala,Urban,2793,359,78,45,40,746,10,443,30,637,0.62,0.35,27.96,1.76,0.49
761,Hospital_761,Karnataka,Rural,9662,72,46,56,75,350,72,561,212,14656,0.48,0.9,44.58,4,4.02
762,Hospital_762,Karnataka,Rural,4440,486,262,87,100,349,117,735,211,13881,0.66,0.91,19.68,4.21,4.62
763,Hospital_763,Delhi,Rural,2256,375,261,86,78,140,183,670,160,14393,0.78,0.28,97.5,2.5,2
764,Hospital_764,Delhi,Rural,16284,399,149,53,174,232,87,1401,168,16860,0.52,0.97,35.15,1.62,3.72
765,Hospital_765,Kerala,Rural,8066,187,187,31,164,842,88,653,35,19643,0.81,0.63,92.38,1.66,2.79
766,Hospital_766,Maharashtra,Urban,2680,64,64,10,96,526,54,1332,75,558,0.48,0.99,90.92,4.94,1.26
767,Hospital_767,Kerala,Urban,7357,471,177,78,42,572,152,767,272,17654,0.38,0.56,37.12,3.9,0.43
768,Hospital_768,Delhi,Urban,2259,412,63,70,77,884,8,398,176,888,0.68,0.63,26.15,2.8,1.3
769,Hospital_769,Delhi,Urban,16272,124,124,28,196,935,11,564,297,12616,0.41,0.41,77.31,2.03,3.06
770,Hospital_770,Tamil Nadu,Rural,14000,169,169,42,97,820,138,448,163,7512,0.96,0.92,23.71,1.08,0.3
771,Hospital_771,Delhi,Rural,11540,165,165,32,181,187,112,263,215,13126,0.3,0.55,52.6,3.68,4.2
772,Hospital_772,Tamil Nadu,Rural,14778,223,223,32,104,565,165,611,162,5352,0.83,0.85,11.96,4.83,4.85
773,Hospital_773,Maharashtra,Urban,14536,381,368,70,117,849,155,1362,193,17479,0.5,0.26,39.21,1.43,0.51
774,Hospital_774,Kerala,Rural,12121,318,115,65,186,806,7,1332,168,9127,0.89,0.83,8.74,4.02,1.31
775,Hospital_775,Kerala,Urban,6872,186,146,50,62,446,174,307,203,2482,0.34,0.59,29.06,1.61,3.41
776,Hospital_776,Tamil Nadu,Rural,1727,220,199,73,83,728,35,1461,11,15316,0.97,0.2,66.86,4.17,4.05
777,Hospital_777,Kerala,Rural,11764,153,137,79,58,722,124,743,224,11560,0.37,0.38,99.14,2.48,1.8
778,Hospital_778,Delhi,Urban,8319,230,230,78,122,240,49,1338,184,12901,0.85,0.35,26.23,3.85,2.62
779,Hospital_779,Karnataka,Urban,18469,67,56,47,123,29,106,1386,84,10911,0.66,0.8,47.86,4.71,4.47
780,Hospital_780,Tamil Nadu,Rural,9813,145,14,63,104,139,8,1113,294,8709,0.6,0.58,45.36,3.48,1.98
781,Hospital_781,Kerala,Rural,8588,258,258,6,34,654,187,1047,136,5929,0.5,0.33,19.23,4.68,0.5
782,Hospital_782,Tamil Nadu,Urban,2281,26,26,19,141,266,199,869,58,12658,0.89,0.41,61.4,1.94,4.97
783,Hospital_783,Tamil Nadu,Rural,11694,483,309,41,188,379,66,259,41,18576,0.44,0.6,72.75,4.91,0.98
784,Hospital_784,Karnataka,Rural,18780,472,159,75,148,928,52,321,167,19654,0.8,0.22,15.57,4.49,0.34
785,Hospital_785,Delhi,Urban,7264,291,291,24,154,240,81,1209,24,4876,0.61,0.54,75.96,1.43,2.11
786,Hospital_786,Tamil Nadu,Rural,19081,404,252,39,117,792,109,648,252,18579,1,0.74,70.32,2.65,0.7
787,Hospital_787,Kerala,Urban,1001,390,284,38,78,525,144,1133,26,14478,0.73,0.61,20.54,4.71,4.9
788,Hospital_788,Maharashtra,Rural,9390,56,56,90,93,77,52,1088,31,18470,0.37,0.68,65.25,1.31,1.97
789,Hospital_789,Tamil Nadu,Urban,18161,230,230,35,166,846,155,1072,253,13205,0.59,0.46,39.97,2.82,4.15
790,Hospital_790,Tamil Nadu,Rural,2981,184,124,91,94,479,113,304,90,11361,0.35,0.35,68.43,3.89,0.97
791,Hospital_791,Karnataka,Urban,13158,144,144,23,128,147,62,786,153,8465,0.5,0.85,50.11,1.13,0.78
792,Hospital_792,Delhi,Rural,5722,356,352,72,81,718,142,771,17,19152,0.54,0.92,5.77,4.01,3.28
793,Hospital_793,Maharashtra,Urban,1478,211,179,28,29,736,18,584,176,10748,0.9,0.61,78.91,2.44,4.56
794,Hospital_794,Kerala,Rural,17732,237,237,88,36,105,123,1308,296,14720,0.89,0.44,56,2,0.66
795,Hospital_795,Maharashtra,Rural,5750,233,91,43,17,123,85,1204,277,7961,0.31,0.61,72.75,3.3,2.99
796,Hospital_796,Kerala,Rural,12533,81,81,96,94,162,69,1073,298,13321,0.67,0.9,13.48,3.18,0.52
797,Hospital_797,Delhi,Rural,9556,347,150,58,70,224,46,66,195,13910,0.46,0.75,72.41,4.5,4.08
